Ref,Val,Package,PosX,PosY,Rot,Side
"C91","1nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",232.612500,-101.500000,0.000000,top
"C92","22pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",231.137500,-129.500000,0.000000,top
"C93","10nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",241.500000,-122.637500,90.000000,top
"C94","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",240.112500,-106.250000,0.000000,top
"C95","10uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",236.750000,-126.500000,0.000000,top
"C96","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",237.000000,-110.887500,90.000000,top
"C97","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",237.000000,-117.387500,90.000000,top
"C98","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",238.500000,-98.362500,90.000000,top
"C99","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",238.750000,-122.637500,90.000000,top
"C100","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",225.500000,-98.612500,90.000000,top
"C101","0.1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",216.397824,-202.737500,90.000000,top
"C102","10uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",220.200000,-202.662500,90.000000,top
"C103","10uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",225.397824,-202.628231,90.000000,top
"C104","10uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",229.897824,-202.628231,90.000000,top
"C105","100pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",236.362500,-101.500000,0.000000,top
"C106","10uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",199.117824,-90.760731,90.000000,top
"C107","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",202.117824,-90.760731,90.000000,top
"C108","1uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",169.800000,-139.587500,90.000000,top
"C109","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",174.560000,-139.587500,90.000000,top
"C110","470nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",164.790000,-143.450000,90.000000,top
"C111","10pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",169.790000,-143.450000,90.000000,top
"C112","10pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",174.550000,-143.450000,90.000000,top
"C113","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",164.800000,-151.587500,90.000000,top
"C114","6.8pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",161.800000,-139.587500,90.000000,top
"C115","8.2pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",164.800000,-139.587500,90.000000,top
"C116","1nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",164.800000,-118.812500,90.000000,top
"C117","5.6pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",164.800000,-147.450000,90.000000,top
"C118","10pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",169.800000,-147.450000,90.000000,top
"C119","22pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",174.550000,-147.312500,90.000000,top
"C120","10pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",169.800000,-151.462500,90.000000,top
"C121","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",174.550000,-151.462500,90.000000,top
"C122","1nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",164.800000,-124.587500,90.000000,top
"C123","10pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",161.550000,-124.587500,90.000000,top
"C124","5.6pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",158.300000,-124.587500,90.000000,top
"C125","8.2pf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",170.437500,-113.950000,0.000000,top
"CC1101_ANT1","50ohm","U.FL_Hirose_U.FL-R-SMT-1_Vertical",217.325000,-73.200000,-90.000000,top
"C_EN1","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",192.270000,-94.000000,0.000000,top
"D1","TPESD5V0L2","D_SOD-323_HandSoldering",188.020000,-96.775000,0.000000,top
"D2","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",234.017824,-198.420731,0.000000,top
"D3","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",234.017824,-201.010731,0.000000,top
"D4","MBR1020VL","D_SOD-123F",230.042824,-194.510731,0.000000,top
"FB1","BLM21PG221SN1D","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",232.500000,-98.137500,-90.000000,top
"FB2","BLM21PG221SN1D","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",229.767824,-198.510731,0.000000,top
"FL1","SAFFB1G58KA0F0A","Filter_1109-5_1.1x0.9mm",236.865000,-129.500000,0.000000,top
"GPS_ANT1","50ohm","U.FL_Hirose_U.FL-R-SMT-1_Vertical",232.600000,-73.200000,-90.000000,top
"IR_LEDs1","940nm","LED_1206_3216Metric",182.500000,-140.000000,0.000000,top
"IR_LEDs2","940nm","LED_1206_3216Metric",189.350000,-140.000000,0.000000,top
"IR_LEDs3","940nm","LED_1206_3216Metric",196.100000,-140.000000,0.000000,top
"JP1","SolderJumper_2_Bridged","SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm",228.400000,-98.350000,0.000000,top
"L1","2nH 500mA","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",199.925000,-94.600000,0.000000,top
"L2","24nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",199.925000,-96.400000,0.000000,top
"L3","2.7nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",196.270000,-94.600000,0.000000,top
"L4","2.7nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",196.270000,-96.400000,180.000000,top
"L5","27nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",224.250000,-90.375000,-90.000000,top
"L6","27nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",221.250000,-90.375000,-90.000000,top
"L7","27nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",218.250000,-90.375000,-90.000000,top
"L8","27nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",221.810000,-86.250000,-90.000000,top
"L9","47nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",218.810000,-86.250000,-90.000000,top
"L10","47nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",215.250000,-90.375000,-90.000000,top
"L11","23nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",224.810000,-86.375000,-90.000000,top
"L25","220nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",169.700000,-84.670000,0.000000,top
"L26","220nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",170.012500,-88.270000,0.000000,top
